,year,city
0,2010,Toronto
5,2010,New York
10,2011,Compton
14,2004,Chicago
17,2006,Pittsburgh
22,2012,Atlanta
27,1999,New Orleans
32,2015,Atlanta
35,2011,Raleigh
41,2011,Detroit
48,1996,New York
55,2017,Atlanta
58,2017,Philadephia
61,2016,Dallas
63,2013,New York
70,2012,Los Angeles
77,2015,Mississippi
83,2012,Chicago
87,2009,Oakland
88,2017,Miami
92,2017,Atlanta
96,2008,Compton
103,2011,Atlanta
106,2017,Miami
107,2011,Atlanta
115,2015,Houston
119,2009,Cleveland
122,2014,Beverly Hills
124,2018,New York
125,2011,Pittsburgh
131,2005,Atlanta
138,2011,Los Angeles
140,2011,Los Angeles
148,2013,New York
154,2016,Toronto
162,2013,New York
169,2015,New York
174,2018,Los Angeles
175,2016,Atlanta
180,2013,Philadephia
182,2013,New York
191,2017,Miami
198,2017,Toronto
202,2018,Indonesia
205,2016,Los Angeles
210,2018,Memphis
216,2016,New York
220,2013,Miami
226,2017,Los Angeles
230,2011,Los Angeles
238,2016,Chicago
240,2018,Memphis
243,2014,New York
